Kode,Nama,Tanggal Pencatatan
KBLM,Kabelindo Murni Tbk,01 Jun 1992
KBLV,First Media Tbk,25 Feb 2000
KBRI,Kertas Basuki Rachmat Indonesia Tbk,11 Jul 2008
KDSI,Kedawung Setia Industrial Tbk,29 Jul 1996
KEEN,PT Kencana Energi Lestari Tbk.,02 Sep 2019
KEJU,PT Mulia Boga Raya Tbk,25 Nov 2019
KIAS,Keramika Indonesia Assosiasi Tbk,08 Des 1994
KICI,Kedaung Indah Can Tbk,28 Okt 1993
KIJA,Kawasan Industri Jababeka Tbk,10 Jan 1995
KINO,PT Kino Indonesia Tbk,11 Des 2015
KIOS,PT Kioson Komersial Indonesia Tbk.,05 Okt 2017
KJEN,PT Krida Jaringan Nusantara Tbk.,01 Jul 2019
KKGI,Resource Alam Indonesia Tbk,01 Jul 1991
KLBF,Kalbe Farma Tbk,30 Jul 1991
KMDS,PT Kurniamitra Duta Sentosa Tbk.,07 Sep 2020
KMTR,PT Kirana Megatara Tbk.,19 Jun 2017
KOBX,Kobexindo Tractors Tbk,05 Jul 2012
KOIN,Kokoh Inti Arebama Tbk,09 Apr 2008
KONI,Perdana Bangun Pusaka Tbk,22 Ags 1995
KOPI,PT Mitra Energi Persada Tbk,23 Apr 2001
KOTA,PT DMS Propertindo Tbk.,09 Jul 2019
KPAL,PT Steadfast Marine Tbk,08 Jun 2018
KPAS,PT Cottonindo Ariesta Tbk.,05 Okt 2018
KPIG,MNC Land Tbk,30 Mar 2000
KRAH,PT Grand Kartech Tbk,08 Nov 2013
KRAS,Krakatau Steel (Persero) Tbk,10 Nov 2010
KREN,PT Kresna Graha Investama Tbk.,28 Jun 2002
LAND,PT Trimitra Propertindo Tbk.,23 Ags 2018
LAPD,Leyand International Tbk,17 Jul 2001
LCGP,PT Eureka Prima Jakarta Tbk.,13 Jul 2007
LCKM,PT LCK Global Kedaton Tbk,16 Jan 2018
LEAD,PT Logindo Samudramakmur Tbk.,11 Des 2013
LIFE,PT Asuransi Jiwa Sinarmas MSIG Tbk.,09 Jul 2019
LINK,PT Link Net Tbk.,02 Jun 2014
LION,Lion Metal Works Tbk,20 Ags 1993
